[2025-09-26 13:49:00] Servidor iniciado (Etapa 1).
[2025-09-26 13:49:08] Thread 1 - mensagem 0
[2025-09-26 13:49:08] Thread 1 - mensagem 1
[2025-09-26 13:49:08] Thread 1 - mensagem 2
[2025-09-26 13:49:08] Thread 1 - mensagem 3
[2025-09-26 13:49:08] Thread 1 - mensagem 4
[2025-09-26 13:49:08] Thread 3 - mensagem 0
[2025-09-26 13:49:08] Thread 3 - mensagem 1
[2025-09-26 13:49:08] Thread 3 - mensagem 2
[2025-09-26 13:49:08] Thread 5 - mensagem 0
[2025-09-26 13:49:08] Thread 5 - mensagem 1
[2025-09-26 13:49:08] Thread 5 - mensagem 2
[2025-09-26 13:49:08] Thread 5 - mensagem 3
[2025-09-26 13:49:08] Thread 5 - mensagem 4
[2025-09-26 13:49:08] Thread 9 - mensagem 0
[2025-09-26 13:49:08] Thread 9 - mensagem 1
[2025-09-26 13:49:08] Thread 9 - mensagem 2
[2025-09-26 13:49:08] Thread 9 - mensagem 3
[2025-09-26 13:49:08] Thread 9 - mensagem 4
[2025-09-26 13:49:08] Thread 8 - mensagem 0
[2025-09-26 13:49:08] Thread 8 - mensagem 1
[2025-09-26 13:49:08] Thread 8 - mensagem 2
[2025-09-26 13:49:08] Thread 8 - mensagem 3
[2025-09-26 13:49:08] Thread 8 - mensagem 4
[2025-09-26 13:49:08] Thread 4 - mensagem 0
[2025-09-26 13:49:08] Thread 4 - mensagem 1
[2025-09-26 13:49:08] Thread 4 - mensagem 2
[2025-09-26 13:49:08] Thread 4 - mensagem 3
[2025-09-26 13:49:08] Thread 4 - mensagem 4
[2025-09-26 13:49:08] Thread 3 - mensagem 3
[2025-09-26 13:49:08] Thread 3 - mensagem 4
[2025-09-26 13:49:08] Thread 2 - mensagem 0
[2025-09-26 13:49:08] Thread 2 - mensagem 1
[2025-09-26 13:49:08] Thread 2 - mensagem 2
[2025-09-26 13:49:08] Thread 2 - mensagem 3
[2025-09-26 13:49:08] Thread 2 - mensagem 4
[2025-09-26 13:49:08] Thread 0 - mensagem 0
[2025-09-26 13:49:08] Thread 0 - mensagem 1
[2025-09-26 13:49:08] Thread 0 - mensagem 2
[2025-09-26 13:49:08] Thread 0 - mensagem 3
[2025-09-26 13:49:08] Thread 0 - mensagem 4
[2025-09-26 13:49:08] Thread 6 - mensagem 0
[2025-09-26 13:49:08] Thread 6 - mensagem 1
[2025-09-26 13:49:08] Thread 6 - mensagem 2
[2025-09-26 13:49:08] Thread 6 - mensagem 3
[2025-09-26 13:49:08] Thread 6 - mensagem 4
[2025-09-26 13:49:08] Thread 7 - mensagem 0
[2025-09-26 13:49:08] Thread 7 - mensagem 1
[2025-09-26 13:49:08] Thread 7 - mensagem 2
[2025-09-26 13:49:08] Thread 7 - mensagem 3
[2025-09-26 13:49:08] Thread 7 - mensagem 4
